Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,NOTE,Provenance
"The Archivio dei Possessori of the Biblioteca Nazionale
Marciana. A Provenance Database",https://archiviopossessori.it/,TRUE,,FALSE,,FALSE,,IRCDL
"An IT Support for an Exhibition of Illuminated
Manuscripts",https://ipsa.dei.unipd.it/,FALSE,,FALSE,,FALSE,,IRCDL
SACHER: Smart Architecture for Cultural Heritage in Emilia Romagna,http://www.sacherproject.com/,FALSE,,FALSE,,FALSE,,IRCDL
A Research Tool for the ERC-Funded EMoBookTrade project ,http://emobooktrade.uniud.it/,FALSE,,FALSE,,FALSE,,IRCDL
"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results",https://www.openuphub.eu/,FALSE,,FALSE,,FALSE,,IRCDL
XDOCS: an Application to Index Historical Documents,https://aimagelab.ing.unimore.it/imagelab/project.asp?idprogetto=59,TRUE,,FALSE,,FALSE,,IRCDL
Eliciting the Ancient Geography from a Digital Library of Latin Texts ,https://visualdataweb.de/webvowl/#iri=https://w3id.org/geolit/ontologies/GO-TOP,FALSE,https://w3id.org/geolit/ontologies/GO-TOP.owl,FALSE,,FALSE,,IRCDL
A Software Architecture for Narratives,https://dlnarratives.eu/narratives.html,FALSE,,FALSE,,FALSE,,IRCDL
Library Data Integration: the CoBiS Linked Open Data Project and Portal ,https://dati.cobis.to.it/,TRUE,,FALSE,,FALSE,,IRCDL
Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library ,https://imagelab.ing.unimore.it/annoteProject,FALSE,,FALSE,,FALSE,,IRCDL
The Biographical Dictionary of Friulans -“Nuovo Liruti” On-Line,https://www.dizionariobiograficodeifriulani.it/,TRUE,,FALSE,,FALSE,,IRCDL
Regional Research Portal FVG: an OpenScience portal ,https://research.unityfvg.it/,FALSE,,FALSE,,FALSE,,IRCDL
Predicting the Usability of the Dice CAPTCHA via Artificial Neural Network,https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path=%2Falessiaamelio%2F+software-tools%2Fdice-captcha-dataset.,FALSE,,FALSE,,FALSE,,IRCDL
Exploring Semantic Archival Collections: The Case of Piłsudski Institute of America,http://arkivo-ontology.org/,FALSE,,FALSE,,FALSE,,IRCDL
Metadata as Semantic Palimpsests: The Case of PHAIDRA@unipd,https://phaidra.cab.unipd.it/info/impressum,TRUE,,FALSE,,FALSE,,IRCDL
In Codice Ratio: Machine Transcription of Medieval Manuscripts,https://www.inf.uniroma3.it/db/icr/,TRUE,,FALSE,,FALSE,,IRCDL
Progetto TraMonti,http://www.tramontivaldivara.it/,FALSE,,FALSE,,FALSE,non accessibile (accessibile con wayback ma non funzionante),DH Awards
digilibLT: Biblioteca digitale di testi latini tardoantichi,http://www.digiliblt.unipmn.it/,TRUE,,FALSE,,FALSE,"accessibile, richiede registrazione",DH Awards
Musisque Deoque,http://www.mqdq.it/,TRUE,,FALSE,,FALSE,aperto e funzionante pare,DH Awards
The Medici Archive Project,http://bia.medici.org/,TRUE,,FALSE,,FALSE,"mellon founded, richiede registrazione",DH Awards
The digital lab of “crunched books”: explore and annotate the classics,http://cbook.it/en/,FALSE,,FALSE,,FALSE,il redirect è appeso (accessibile con wayback ma non funzionante),DH Awards
3DHOP: 3D Heritage Online Presenter,http://vcg.isti.cnr.it/3dhop/,TRUE,,FALSE,,FALSE,"Non espone dati, è un software",DH Awards
ALCIDE (Analysis of Language and Content In a Digital Environment),http://celct.fbk.eu:8080/Alcide_Demo/,TRUE,,FALSE,,FALSE,traslocato https://alcidedigitale.fbk.eu/platform/,DH Awards
DanteSources,http://perunaenciclopediadantescadigitale.eu/dantesources/index.html,TRUE,,FALSE,,FALSE,redirect a https://dantesources.dantenetwork.it/index.html dal 2021,DH Awards
Pundit,http://thepund.it/,TRUE,,FALSE,,FALSE,"Non espone dati, è un software",DH Awards
Alchimia di Jackson Pollock / Jackson Pollock: Alchemy in 3D,http://vcg.isti.cnr.it/alchemy/,TRUE,,FALSE,,FALSE,,DH Awards
EVT – Edition Visualization Technology,http://evt.labcd.unipi.it/,TRUE,,FALSE,,FALSE,è un tool ma espone anche due demo edizioni digitali. rientra,DH Awards
Galassia Ariosto,http://galassiaariosto.sns.it/,FALSE,,FALSE,,FALSE,"è stato internalizzato, forse, dal 2020 e ci si può accedere con VPN (forse)",DH Awards
NumET,https://nuovomedioevo.it/numet-2/,FALSE,,FALSE,,FALSE,,DH Awards
I conti con la Storia: Le leggi razziali tra televisione e storiografia,http://www.iconticonlastoria.it,TRUE,,FALSE,,FALSE,traslocato a https://www.unive.it/pag/44465/,DH Awards
Storia dei Carabinieri,https://www.spreaker.com/show/storia-dei-carabinieri,TRUE,,FALSE,,FALSE,,DH Awards
Navigli Project,http://arcg.is/0vfWKj,TRUE,,FALSE,,FALSE,,DH Awards
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
,,FALSE,,FALSE,,FALSE,,
