Titolo,URL progetto,URL progetto risolve?,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
Archivio digitale del Risorgimento in Sardegna,https://storia.dh.unica.it/archiviodigitalerisorgimento/,TRUE,,,,,KNOT,http://purl.org/knot/data/archivio-risorgimento-sardegna-project,FALSE,,2020-09-24 14:44:16,2024-11-26 22:16:19,200,https://web.archive.org/web/20241126221619/https://storia.dh.unica.it/archiviodigitalerisorgimento/contact,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio Elettronico delle Opere di Carlo Emilio Gadda,http://dbtvm1.ilc.cnr.it/Gadda/,TRUE,,,,,KNOT,http://purl.org/knot/data/gadda-archive-project,TRUE,lo abbiamo già ma è interessante vedere i link diversi,2024-05-22 08:54:38,2024-06-28 17:03:05,200,https://web.archive.org/web/20240628170305/http://dbtvm1.ilc.cnr.it/Gadda/stile.css,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio fonti orali,https://pric.unive.it/progetti/archivio-fonti-orali/home,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2021-02-28 04:06:39,2024-12-04 07:06:04,200,https://web.archive.org/web/20241204070604/http://pric.unive.it/progetti/archivio-fonti-orali/home,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio Musicale dell'Orchestra Sinfonica Nazionale della Rai,http://www.osn.teche.rai.it/Default.aspx,TRUE,,,,,KNOT,http://purl.org/knot/data/rai-orchestra-project,FALSE,,2016-09-05 16:31:30,2024-08-13 16:24:56,200,https://web.archive.org/web/20240813162456/http://www.osn.teche.rai.it/Default.aspx?lang=en,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio storico fotografico Adolfo Venturi,https://digilab.uniroma1.it/risorse/archivio-storico-fotografico,FALSE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,2022-06-25 04:21:47,2024-06-16 02:06:21,403,https://web.archive.org/web/20240616020621/https://digilab.uniroma1.it/risorse/archivio-storico-fotografico,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio Università Castrense,https://archivio.universitacastrense.eu/,TRUE,,FALSE,,FALSE,AIUCD,,TRUE,,2019-08-28 10:33:58,2025-01-01 09:18:11,200,https://web.archive.org/web/20250101091811/https://archivio.universitacastrense.eu/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Archivio ViVo,,FALSE,https://www.clarin-it.it/it/content/archivio-vivo,TRUE,,FALSE,Italian DH Institutions,,FALSE,page not found,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2022-07-01 04:19:48,2024-08-06 00:46:49,NOSTATUSCODE,https://web.archive.org/web/20240806004649/https://www.clarin-it.it/it/content/archivio-vivo-presenta-la-viva-voce-della-voce
arco,http://wit.istc.cnr.it/arco/index.php?lang=en,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2019-07-26 10:04:19,2024-05-24 15:36:07,200,https://web.archive.org/web/20240524153607/http://wit.istc.cnr.it/arco/index.php?lang=en,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
artchives - the inventory of art historians’ archives,http://artchives.fondazionezeri.unibo.it/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2020-11-28 13:54:26,2024-12-31 12:03:35,200,https://web.archive.org/web/20241231120335/http://artchives.fondazionezeri.unibo.it/static/js/wikidata-sdk.min.js,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Artesia,http://artesia.ovi.cnr.it/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2013-01-22 01:20:04,2024-09-28 05:55:19,200,https://web.archive.org/web/20240928055519/http://artesia.ovi.cnr.it/(S(zcxovwwiwanvoydghgaxkgpc))/CatForm01.aspx,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
