Titolo,URL progetto,Sito funzionante,Sito non trovato,Sito non funzionante,Sito non reinderizzato,Sito parzialmente Inacessibile,Sito dopo migrazione,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,NOTE
Unione Donne in Italia: digital library,https://archiviodigitale.udinazionale.org/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Tree of philosophers,https://treeofphilosophers.it/labels,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
The Vercelli Book,http://vbd.humnet.unipi.it/beta2/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,alcune immagini non vengono caricate
The TRAME Project - Text and Manuscript Transmission of the Middle Ages in Europe,http://git-trame.fefonlus.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
The medieval kingdom of Sicily: image database,https://koseodiah.org/mapofkingdom.php,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,"è stato internalizzato, forse, dal 2020 e ci si può accedere con VPN (forse)"
The Medieval Kingdom of Sicily Image Database,https://koseodiah.org/index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
The Medici Archive Project,http://bia.medici.org/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,
The Falconieri Project,https://falconieri.medici.org/Mia/LoginUser.do,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,, richiede registrazione
The Biographical Dictionary of Friulans -“Nuovo Liruti” On-Line,https://www.dizionariobiograficodeifriulani.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
The AstroBID: Preserving and Sharing the Italian Astronomical Heritage.,www.beniculturali.inaf.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
"The Archivio dei Possessori of the Biblioteca Nazionale
Marciana. A Provenance Database",https://archiviopossessori.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
The “Verbo-Visual Virtual” Platform,https://www.verbovisualevirtuale.org/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,
Stragi Nazifasciste,https://www.straginazifasciste.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
Storia dei Carabinieri,https://www.spreaker.com/show/storia-dei-carabinieri,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,sito non raggiungibile
Staccioli,https://staccioli.biblhertz.it/resource/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Spatial,https://dlib.biblhertz.it/spatial/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Siena map,https://db.biblhertz.it/siena/siena.xql,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
SIAR: A User-Centric Digital Archive System,https://siar.regione.veneto.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,
SERICA,https://serica.unipi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/serica-project,
semantic digital edition of vespasiano da bisticci’s letters,http://projects.dharc.unibo.it/vespasiano/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
semantic digital edition of paolo bufalini’s notebook,http://projects.dharc.unibo.it/bufalini-notebook/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
S. Michele Arcangelo di Pegazzano,https://sanmichelepegazzano.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/pegazzano-project,
RePIM - Repertorio della Poesia Italiana in Musica,https://repim.itatti.harvard.edu/resource/repim:formSearch,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/repim-project,
Repim,https://repim.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
Registri Monterosso,https://registrimonterosso.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
RDCI - Repertorio Digitale della Canzone Italiana,https://www.rdci.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/repertorio-canzone-project,
Rara,https://rara.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Ragu project,https://raguproject.github.io/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://raguproject.github.io/,FALSE,AIUCD,,
Project 3d Bridge,https://wissensgeschichte.biblhertz.it/3d-bridge-html/index3D.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Progetto viver,https://testi.progettoviver.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,
Progetto Mambrino,https://www.mambrino.it/it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,risolve ma poi dice 404
Poichilia,https://poichilia.unict.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,
Pirandello nazionale,https://www.pirandellonazionale.it/opere/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://www.pirandellonazionale.it/,TRUE,AIUCD,,
philoeditor,http://projects.dharc.unibo.it/philoeditor/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,progetto in lavorazione (finisce nel maggio 2025)
