Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Exploring Semantic Archival Collections: The Case of Piłsudski Institute of America,http://arkivo-ontology.org/,False,,False,,False,IRCDL,,False,,2018-02-03 09:33:07,2018-08-10 11:33:47
Metadata as Semantic Palimpsests: The Case of PHAIDRA@unipd,https://phaidra.cab.unipd.it/info/impressum,True,,False,,False,IRCDL,,False,,2014-12-18 21:57:50,2024-10-07 10:48:40
In Codice Ratio: Machine Transcription of Medieval Manuscripts,https://www.inf.uniroma3.it/db/icr/,True,,False,,False,IRCDL,,False,,2018-05-15 05:52:03,2024-08-26 11:45:42
Progetto TraMonti,http://www.tramontivaldivara.it/,False,,False,,False,DH Awards,,True,sito non raggiungibile,2013-02-03 03:21:43,2019-01-24 01:51:51
digilibLT: Biblioteca digitale di testi latini tardoantichi,http://www.digiliblt.unipmn.it/,True,,False,,False,DH Awards,,True,connessione non privata (accessibile con wayback ma non funzionante),2012-02-05 00:48:17,2024-05-11 14:28:19
Musisque Deoque,http://www.mqdq.it/,True,,False,,False,DH Awards,,False,,2013-05-26 02:23:56,2024-12-01 00:26:00
The Medici Archive Project,http://bia.medici.org/,True,,False,,False,DH Awards,,True, richiede registrazione,2012-12-31 16:41:31,2024-12-19 11:06:40
The digital lab of “crunched books”: explore and annotate the classics,http://cbook.it/en/,False,,False,,False,DH Awards,,False,non funziona,2015-02-22 12:00:23,2024-01-19 14:03:36
3DHOP: 3D Heritage Online Presenter,http://vcg.isti.cnr.it/3dhop/,True,,False,,False,DH Awards,,False,,2014-06-05 09:33:38,2024-11-27 00:22:28
ALCIDE (Analysis of Language and Content In a Digital Environment),http://celct.fbk.eu:8080/Alcide_Demo/,False,,False,,False,DH Awards,,False,traslocato https://alcidedigitale.fbk.eu/platform/,2015-09-06 20:57:24,2020-01-30 20:16:43
Alchimia di Jackson Pollock / Jackson Pollock: Alchemy in 3D,,True,http://vcg.isti.cnr.it/alchemy/,True,,False,DH Awards,,False,,,
